Blatt;Seite;Spalte;Zeile;Vers
116;r;a;1;1
116;r;a;2;2
116;r;a;3;3
116;r;a;4;4
116;r;a;5;5
116;r;a;6;6
116;r;a;7;7
116;r;a;8;8
116;r;a;9;9
116;r;a;10;10
116;r;a;11;11
116;r;a;12;12
116;r;a;13;13
116;r;a;14;14
116;r;a;15;15
116;r;a;16;16
116;r;a;17;17
116;r;a;18;18
116;r;a;19;19
116;r;a;20;20
116;r;a;21;21
116;r;a;22;22
116;r;a;23;23
116;r;a;24;24
116;r;a;25;25
116;r;a;26;26
116;r;a;27;27
116;r;a;28;28
116;r;a;29;29
116;r;a;30;30
116;r;a;31;31
116;r;a;32;32
116;r;a;33;33
116;r;a;34;34
116;r;a;35;35
116;r;a;36;36
116;r;a;37;37
116;r;a;38;38
116;r;a;39;39
116;r;a;40;40
116;r;a;41;41
116;r;a;42;42
116;r;a;43;43
116;r;a;44;44
116;r;a;45;45
116;r;a;46;46
116;r;a;47;47
116;r;a;48;48
116;r;a;49;49
116;r;b;1;50
116;r;b;2;51
116;r;b;3;52
116;r;b;4;53
116;r;b;5;54
116;r;b;6;55
116;r;b;7;56
116;r;b;8;57
116;r;b;9;58
116;r;b;10;59
116;r;b;11;60
116;r;b;12;61
116;r;b;13;62
116;r;b;14;63
116;r;b;15;64
116;r;b;16;65
116;r;b;17;66
116;r;b;18;67
116;r;b;19;68
116;r;b;20;69
116;r;b;21;70
116;r;b;22;71
116;r;b;23;72
116;r;b;24;73
116;r;b;25;74
116;r;b;26;75
116;r;b;27;76
116;r;b;28;77
116;r;b;29;78
116;r;b;30;79
116;r;b;31;80
116;r;b;32;81
116;r;b;33;82
116;r;b;34;83
116;r;b;35;84
116;r;b;36;85
116;r;b;37;86
116;r;b;38;87
116;r;b;39;88
116;r;b;40;89
116;r;b;41;90
116;r;b;42;91
116;r;b;43;92
116;r;b;44;93
116;r;b;45;94
116;r;b;46;95
116;r;b;47;96
116;r;b;48;97
116;r;b;49;98
116;v;a;1;99
116;v;a;2;100
116;v;a;3;101
116;v;a;4;102
116;v;a;5;103
116;v;a;6;104
116;v;a;7;105
116;v;a;8;106
116;v;a;9;107
116;v;a;10;108
116;v;a;11;109
116;v;a;12;110
116;v;a;13;111
116;v;a;14;112
116;v;a;15;113
116;v;a;16;114
116;v;a;17;115
116;v;a;18;116
116;v;a;19;117
116;v;a;20;118
116;v;a;21;119
116;v;a;22;120
116;v;a;23;121
116;v;a;24;122
116;v;a;25;123
116;v;a;26;124
116;v;a;27;125
116;v;a;28;126
116;v;a;29;127
116;v;a;30;128
116;v;a;31;129
116;v;a;32;130
116;v;a;33;131
116;v;a;34;132
116;v;a;35;133
116;v;a;36;134
116;v;a;37;135
116;v;a;38;136
116;v;a;39;137
116;v;a;40;138
116;v;a;41;139
116;v;a;42;140
116;v;a;43;141
116;v;a;44;142
116;v;a;45;143
116;v;a;46;144
116;v;a;47;145
116;v;a;48;146
116;v;a;49;147
116;v;b;1;148
116;v;b;2;149
116;v;b;3;150
116;v;b;4;151
116;v;b;5;152
116;v;b;6;153
116;v;b;7;154
116;v;b;8;155
116;v;b;9;156
116;v;b;10;157
116;v;b;11;158
116;v;b;12;159
116;v;b;13;160
116;v;b;14;161
116;v;b;15;162
116;v;b;16;163
116;v;b;17;164
116;v;b;18;165
116;v;b;19;166
116;v;b;20;167
116;v;b;21;168
116;v;b;22;169
116;v;b;23;170
116;v;b;24;171
116;v;b;25;172
116;v;b;26;173
116;v;b;27;174
116;v;b;28;175
116;v;b;29;176
116;v;b;30;177
116;v;b;31;178
116;v;b;32;179
116;v;b;33;180
116;v;b;34;181
116;v;b;35;182
116;v;b;36;183
116;v;b;37;184
116;v;b;38;185
116;v;b;39;186
116;v;b;40;187
116;v;b;41;188
116;v;b;42;189
116;v;b;43;190
116;v;b;44;191
116;v;b;45;192
116;v;b;46;193
116;v;b;47;194
116;v;b;48;195
116;v;b;49;196
117;r;a;1;197
117;r;a;2;198
117;r;a;3;199
117;r;a;4;200
117;r;a;5;201
117;r;a;6;202
117;r;a;7;203
117;r;a;8;204
117;r;a;9;205
117;r;a;10;206
117;r;a;11;207
117;r;a;12;208
117;r;a;13;209
117;r;a;14;210
117;r;a;15;211
117;r;a;16;212
117;r;a;17;213
117;r;a;18;214
117;r;a;19;215
117;r;a;20;216
117;r;a;21;217
117;r;a;22;218
117;r;a;23;219
117;r;a;24;220
117;r;a;25;221
117;r;a;26;222
117;r;a;27;223
117;r;a;28;224
117;r;a;29;225
117;r;a;30;226
117;r;a;31;227
117;r;a;32;228
117;r;a;33;229
117;r;a;34;230
117;r;a;35;231
117;r;a;36;232
117;r;a;37;233
117;r;a;38;234
117;r;a;39;235
117;r;a;40;236
117;r;a;41;237
117;r;a;42;238
117;r;a;43;239
117;r;a;44;240
117;r;a;45;241
117;r;a;46;242
117;r;a;47;243
117;r;a;48;244
117;r;a;49;245
117;r;b;1;246
117;r;b;2;247
117;r;b;3;248
117;r;b;4;249
117;r;b;5;250
117;r;b;6;251
117;r;b;7;252
117;r;b;8;253
117;r;b;9;254
117;r;b;10;255
117;r;b;11;256
117;r;b;12;257
117;r;b;13;258
117;r;b;14;259
117;r;b;15;260
117;r;b;16;261
117;r;b;17;262
117;r;b;18;263
117;r;b;19;264
117;r;b;20;265
117;r;b;21;266
117;r;b;22;267
117;r;b;23;268
117;r;b;24;269
117;r;b;25;270
117;r;b;26;271
117;r;b;27;272
117;r;b;28;273
117;r;b;29;274
117;r;b;30;275
117;r;b;31;276
117;r;b;32;277
117;r;b;33;278
117;r;b;34;279
117;r;b;35;280
117;r;b;36;281
117;r;b;37;282
117;r;b;38;283
117;r;b;39;284
117;r;b;40;285
117;r;b;41;286
117;r;b;42;287
117;r;b;43;288
117;r;b;44;289
117;r;b;45;290
117;r;b;46;291
117;r;b;47;292
117;r;b;48;293
117;r;b;49;294
117;v;a;1;295
117;v;a;2;296
117;v;a;3;297
117;v;a;4;298
117;v;a;5;299
117;v;a;6;300
117;v;a;7;301
117;v;a;8;302
117;v;a;9;303
117;v;a;10;304
117;v;a;11;305
117;v;a;12;306
117;v;a;13;307
117;v;a;14;308
117;v;a;15;309
117;v;a;16;310
117;v;a;17;311
117;v;a;18;312
117;v;a;19;313
117;v;a;20;314
117;v;a;21;315
117;v;a;22;316
117;v;a;23;317
117;v;a;24;318
117;v;a;25;319
117;v;a;26;320
117;v;a;27;321
117;v;a;28;322
117;v;a;29;323-0
117;v;a;30;323
117;v;a;31;324
117;v;a;32;325
117;v;a;33;326
117;v;a;34;327
117;v;a;35;328
117;v;a;36;329
117;v;a;37;330
117;v;a;38;331
117;v;a;39;332
117;v;a;40;333
117;v;a;41;334
117;v;a;42;335
117;v;a;43;336
117;v;a;44;337
117;v;a;45;338
117;v;a;46;339
117;v;a;47;340
117;v;a;48;341
117;v;a;49;342
117;v;b;1;343
117;v;b;2;344
117;v;b;3;345
117;v;b;4;346
117;v;b;5;347
117;v;b;6;348
117;v;b;7;349
117;v;b;8;350
117;v;b;9;351
117;v;b;10;352
117;v;b;11;353
117;v;b;12;354
117;v;b;13;355
117;v;b;14;356
117;v;b;15;357
117;v;b;16;358
117;v;b;17;359
117;v;b;18;360
117;v;b;19;361
117;v;b;20;362
117;v;b;21;363
117;v;b;22;364
117;v;b;23;365
117;v;b;24;366
117;v;b;25;367
117;v;b;26;368
117;v;b;27;369
117;v;b;28;370
117;v;b;29;371
117;v;b;30;372
117;v;b;31;373
117;v;b;32;374
117;v;b;33;375
117;v;b;34;376
117;v;b;35;377
117;v;b;36;378
117;v;b;37;379
117;v;b;38;380
117;v;b;39;381
117;v;b;40;382
117;v;b;41;383
117;v;b;42;384
117;v;b;43;385
117;v;b;44;386
117;v;b;45;387
117;v;b;46;388
117;v;b;47;389
117;v;b;48;390
117;v;b;49;391
118;r;a;1;392
118;r;a;2;393
118;r;a;3;394
118;r;a;4;395
118;r;a;5;396
118;r;a;6;397
118;r;a;7;398
118;r;a;8;399
118;r;a;9;400
118;r;a;10;401
118;r;a;11;402
118;r;a;12;403
118;r;a;13;404
118;r;a;14;405
118;r;a;15;406
118;r;a;16;407
118;r;a;17;408
118;r;a;18;409
118;r;a;19;410
118;r;a;20;411
118;r;a;21;412
118;r;a;22;413
118;r;a;23;414
118;r;a;24;415
118;r;a;25;416
118;r;a;26;417
118;r;a;27;418
118;r;a;28;419
118;r;a;29;420
118;r;a;30;421
118;r;a;31;422
118;r;a;32;423
118;r;a;33;424
118;r;a;34;425
118;r;a;35;426
118;r;a;36;427
118;r;a;37;428
118;r;a;38;429
118;r;a;39;430
118;r;a;40;431
118;r;a;41;432
118;r;a;42;433
118;r;a;43;434
118;r;a;44;435
118;r;a;45;436
118;r;a;46;437
118;r;a;47;438
118;r;a;48;439
118;r;a;49;440
118;r;b;1;441
