R,1,r,a,0[1],0[31],R1
R,1,r,b,0[32],20,R1
R,1,v,a,21,68,R1
R,1,v,b,69,116,R1
R,2,r,a,117,164,R1
R,2,r,b,165,212,R1
R,2,v,a,213,260,R1
R,2,v,b,261,308,R1
R,3,r,a,309,355,R1
R,3,r,b,356,403,R1
R,3,v,a,404,451,R1
R,3,v,b,452,499,R1
R,4,r,a,500,546,R1
R,4,r,b,547,594,R1
R,4,v,a,595,642,R1
R,4,v,b,643,690,R1
R,5,r,a,691,738,R1
R,5,r,b,739,786,R1
R,5,v,a,787,834,R1
R,5,v,b,835,882,R1
R,6,r,a,883,929,R1
R,6,r,b,930,977,R1
R,6,v,a,978,1025,R1
R,6,v,b,1026,1073,R1
R,7,r,a,1074,1121,R1
R,7,r,b,1122,1169,R1
R,7,v,a,1170,1217,R1
R,7,v,b,1218,1265,R1
R,8,r,a,1266,1313,R1
R,8,r,b,1314,1361,R1
R,8,v,a,1362,1409,R1
R,8,v,b,1410,1455,R1
R,9,r,a,1456,1503,R1
R,9,r,b,1504,1551,R1
R,9,v,a,1552,1599,R1
R,9,v,b,1600,1647,R1
R,10,r,a,1648,1695,R1
R,10,r,b,1696,1743,R1
R,10,v,a,1744,1791,R1
R,10,v,b,1792,1839,R1
R,11,r,a,1840,1887,R1
R,11,r,b,1888,1935,R1
R,11,v,a,1936,1982,R1
R,11,v,b,1983,2030,R1
R,12,r,a,2031,2078,R1
R,12,r,b,2079,2126,R1
R,12,v,a,2127,2174,R1
R,12,v,b,2175,2222,R1
R,13,r,a,2223,2269,R1
R,13,r,b,2270,2317,R1
R,13,v,a,2318,2362,R1
R,13,v,b,2363,2410,R1
R,14,r,a,2411,2458,R1
R,14,r,b,2459,2506,R1
R,14,v,a,2507,2554,R1
R,14,v,b,2555,2602,R1
R,15,r,a,2603,2650,R1
R,15,r,b,2651,2698,R1
R,15,v,a,2699,2746,R1
R,15,v,b,2747,2794,R1
R,16,r,a,2795,2842,R1
R,16,r,b,2843,2890,R1
R,16,v,a,2891,2937,R1
R,16,v,b,2938,2985,R1
R,17,r,a,2986,3033,R1
R,17,r,b,3034,3081,R1
R,17,v,a,3082,3129,R1
R,17,v,b,3130,3177,R1
R,18,r,a,3178,3222,R1
R,18,r,b,3223,3270,R1
R,18,v,a,3271,3318,R1
R,18,v,b,3319,3366,R1
R,19,r,a,3367,3414,R1
R,19,r,b,3415,3462,R1
R,19,v,a,3463,3510,R1
R,19,v,b,3511,3558,R1
R,20,r,a,3559,3606,R1
R,20,r,b,3607,3654,R1
R,20,v,a,3655,3702,R1
R,20,v,b,3703,3750,R1
R,21,r,a,3751,3798,R1
R,21,r,b,3799,3846,R1
R,21,v,a,3847,3894,R1
R,21,v,b,3895,3942,R1
R,22,r,a,3943,3990,R1
R,22,r,b,3991,4038,R1
R,22,v,a,4039,4086,R1
R,22,v,b,4087,4134,R1
R,23,r,a,4135,4182,R1
R,23,r,b,4183,4230,R1
R,23,v,a,4231,4278,R1
R,23,v,b,4279,4326,R1
R,24,r,a,4327,4374,R1
R,24,r,b,4375,4422,R1
R,24,v,a,4423,4470,R1
R,24,v,b,4471,4518,R1
R,25,r,a,4519,4566,R1
R,25,r,b,4567,4614,R1
R,25,v,a,4615,4662,R1
R,25,v,b,4663,4710,R1
R,26,r,a,4711,4758,R1
R,26,r,b,4759,4806,R1
R,26,v,a,4807,4852,R1
R,26,v,b,4853,4900,R1
R,27,r,a,4901,4948,R1
R,27,r,b,4949,4996,R1
R,27,v,a,4997,5044,R1
R,27,v,b,5045,5090,R1
R,28,r,a,5091,5138,R1
R,28,r,b,5139,5186,R1
R,28,v,a,5187,5234,R1
R,28,v,b,5235,5282,R1
R,29,r,a,5283,5330,R1
R,29,r,b,5331,5378,R1
R,29,v,a,5379,5426,R1
R,29,v,b,5427,5474,R1
R,30,r,a,5475,5522,R1
R,30,r,b,5523,5570,R1
R,30,v,a,5571,5618,R1
R,30,v,b,5619,5666,R1
R,31,r,a,5667,5714,R1
R,31,r,b,5715,5762,R1
R,31,v,a,5763,5810,R1
R,31,v,b,5811,5858,R1
R,32,r,a,5859,5906,R1
R,32,r,b,5907,5954,R1
R,32,v,a,5955,6002,R1
R,32,v,b,6003,6050,R1
R,33,r,a,6051,6098,R1
R,33,r,b,6099,6146,R1
R,33,v,a,6147,6193,R1
R,33,v,b,6194,6242,R1
R,34,r,a,6243,6289,R1
R,34,r,b,6290,6337,R1
R,34,v,a,6338,6385,R1
R,34,v,b,6386,6433,R1
R,35,r,a,6434,6481,R1
R,35,r,b,6482,6529,R1
R,35,v,a,6530,6577,R1
R,35,v,b,6578,6625,R1
R,36,r,a,6626,6670,R1
R,36,r,b,6671,6718,R1
R,36,v,a,6719,6766,R1
R,36,v,b,6767,6814,R1
R,37,r,a,6815,6862,R1
R,37,r,b,6863,6910,R1
R,37,v,a,6911,6958,R1
R,37,v,b,6959,7006,R1
R,38,r,a,7007,7054,R1
R,38,r,b,7055,7100,R1
R,38,v,a,7101,7148,R1
R,38,v,b,7149,7196,R1
R,39,r,a,7197,7244,R1
R,39,r,b,7245,7292,R1
R,39,v,a,7293,7338,R1
R,39,v,b,7339,7386,R1
R,40,r,a,7387,7434,R1
R,40,r,b,7435,7482,R1
R,40,v,a,7483,7526,R1
R,40,v,b,7527,7574,R1
R,41,r,a,7575,7622,R1
R,41,r,b,7623,7670,R1
R,41,v,a,7671,7718,R1
R,41,v,b,7719,7766,R1
R,42,r,a,7767,7814,R1
R,42,r,b,7815,7862,R1
R,42,v,a,7863,7910,R1
R,42,v,b,7911,7958,R1
R,43,r,a,7959,8006,R1
R,43,r,b,8007,8054,R1
R,43,v,a,8055,8100,R1
R,43,v,b,8101,8148,R1
R,44,r,a,8149,8196,R1
R,44,r,b,8197,8244,R1
R,44,v,a,8245,8292,R1
R,44,v,b,8293,8340,R1
R,45,r,a,8341,8388,R1
R,45,r,b,8389,8436,R1
R,45,v,a,8437,8482,R1
R,45,v,b,8483,8530,R1
R,46,r,a,8531,8578,R1
R,46,r,b,8579,8626,R1
R,46,v,a,8627,8674,R1
R,46,v,b,8675,8722,R1
R,47,r,a,8723,8770,R1
R,47,r,b,8771,8818,R1
R,47,v,a,8819,8866,R1
R,47,v,b,8867,8914,R1
R,48,r,a,8915,8962,R1
R,48,r,b,8963,9010,R1
R,48,v,a,9011,9058,R1
R,48,v,b,9059,9106,R1
R,49,r,a,9107,9154,R2
R,49,r,b,9155,9202,R2
R,49,v,a,9204,9251,R2
R,49,v,b,9252,9299,R2
R,50,r,a,9300,9347,R2
R,50,r,b,9348,9393,R2
R,50,v,a,9394,9445,R2
R,50,v,b,9446,9493,R2
R,51,r,a,9494,9541,R2
R,51,r,b,9542,9589,R2
R,51,v,a,9589,9635[1],R2
R,51,v,b,9537,9682,R2
R,52,r,a,9683,9730,R2
R,52,r,b,9731,9778,R2
R,52,v,a,9779,9826,R2
R,52,v,b,9827,9882,R2
R,53,r,a,9883,9930,R2
R,53,r,b,9931,9978,R2
R,53,v,a,9979,10026,R2
R,53,v,b,10029,10075,R2
R,54,r,a,10076,10122,R2
R,54,r,b,10123,10171,R2
R,54,v,a,10172,10239,R2
R,54,v,b,10240,10301,R2
R,55,r,a,10302,10349,R2
R,55,r,b,10350,10397,R2
R,55,v,a,10398,10445,R2
R,55,v,b,10446,10501,R2
R,56,r,a,10502,10549,R2
R,56,r,b,10550,10597,R2
R,56,v,a,10598,10646,R2
R,56,v,b,10647,10694,R2
R,57,r,a,10695,10742,R2
R,57,r,b,10743,10790,R2
R,57,v,a,10791,10839,R2
R,57,v,b,10840,10885,R2
R,58,r,a,10886,10932,R2
R,58,r,b,10933,10980,R2
R,58,v,a,10981,11028,R2
R,58,v,b,11029,11076,R2
R,59,r,a,11077,11124,R2
R,59,r,b,11125,11170,R2
R,59,v,a,11171,11218,R2
R,59,v,b,11219,11266,R2
R,60,r,a,11267,11314,R2
R,60,r,b,11315,11366,R2
R,60,v,a,11367,11415,R2
R,60,v,b,11416,11463,R2
R,61,r,a,11464,11514,R2
R,61,r,b,11515,11560,R2
R,61,v,a,11561,11608,R2
R,61,v,b,11609,11655,R2
R,62,r,a,11656,11703,R2
R,62,r,b,11704,11751,R2
R,62,v,a,11752,11795,R2
R,62,v,b,11796,11843,R2
R,63,r,a,11844,11919,R2
R,63,r,b,11920,11973,R2
R,63,v,a,11974,12024,R2
R,63,v,b,12025,12079,R2
R,64,r,a,12080,12127,R2
R,64,r,b,12128,12175,R2
R,64,v,a,12176,12223,R2
R,64,v,b,12224,12269,R2
R,65,r,a,12270,12316,R2
R,65,r,b,12317,12363,R2
R,65,v,a,12364,12411,R2
R,65,v,b,12412,12460,R2
R,66,r,a,12461,12507,R2
R,66,r,b,12508,12555,R2
R,66,v,a,12556,12603,R2
R,66,v,b,12604,12651,R2
R,67,r,a,12652,12697,R2
R,67,r,b,12698,12744,R2
R,67,v,a,12745,12789,R2
R,67,v,b,12790,12837,R2
R,68,r,a,12838,12887,R2
R,68,r,b,12888,12935,R2
R,68,v,a,12936,12985,R2
R,68,v,b,12986,13037,R2
R,69,r,a,13038,13084,R2
R,69,r,b,13085,13132,R2
R,69,v,a,13133,13180,R2
R,69,v,b,13181,13228,R2
R,70,r,a,13229,13284,R2
R,70,r,b,13285,13334,R2
R,70,v,a,13335,13385,R2
R,70,v,b,13386,13436,R2
R,71,r,a,13437,13484,R2
R,71,r,b,13485,13532,R2
R,71,v,a,13533,13582,R2
R,71,v,b,13583,13632,R2
R,72,r,a,13633,13681,R2
R,72,r,b,13682,13728,R2
R,72,v,a,13729,13779,R2
R,72,v,b,13780,13828,R2
R,73,r,a,13829,13877,R2
R,73,r,b,13878,13926,R2
R,73,v,a,13927,13974,R2
R,73,v,b,13975,14015,R2
R,74,r,a,14016,14065,R2
R,74,r,b,14066,14119,R2
R,74,v,a,14120,14167,R2
R,74,v,b,14168,14215,R2
R,75,r,a,14216,14263,R2
R,75,r,b,14264,14311,R2
R,75,v,a,14312,14359,R2
R,75,v,b,14360,14410,R2
R,76,r,a,14411,14458,R2
R,76,r,b,14459,14506,R2
R,76,v,a,14507,14556,R2
R,76,v,b,14557,14606,R2
R,77,r,a,14607,14654,R2
R,77,r,b,14655,14702,R2
R,77,v,a,14703,14749,R2
R,77,v,b,14750,14798,R2
R,78,r,a,14799,14846,R2
R,78,r,b,14847,14910,R2
R,78,v,a,14911,14958,R2
R,78,v,b,14959,15006,R2
R,79,r,a,15007,15054,R2
R,79,r,b,15055,15109,R2
R,79,v,a,15110,15158,R2
R,79,v,b,15159,15207,R2
R,80,r,a,15208,15254,R2
R,80,r,b,15255,15309,R2
R,80,v,a,15312,15372,R2
R,80,v,b,15373,15424,R2
R,81,r,a,15425,15486,R2
R,81,r,b,15487,15534,R2
R,81,v,a,15535,15582,R2
R,81,v,b,15583,15630,R2
R,82,r,a,15631,15676,R2
R,82,r,b,15677,15730,R2
R,82,v,a,15731,15788,R2
R,82,v,b,15789,15837,R2
R,83,r,a,15838,15887,R2
R,83,r,b,15888,15939,R2
R,83,v,a,15940,15987,R2
R,83,v,b,15988,16035,R2
R,84,r,a,16036,16083,R2
R,84,r,b,16084,16131,R2
R,84,v,a,16132,16187,R2
R,84,v,b,16188,16232,R2
R,85,r,a,16233,16280,R2
R,85,r,b,16281,16336,R2
R,85,v,a,16337,16383,R2
R,85,v,b,16384,16432,R2
R,86,r,a,16433,16484,R2
R,86,r,b,16485,16532,R2
R,86,v,a,16533,16577,R2
R,86,v,b,16584,16630,R2
R,87,r,a,16631,16677,R2
R,87,r,b,16678,16724,R2
R,87,v,a,16725,16772,R2
R,87,v,b,16773,16826,R2
R,88,r,a,16827,16874,R2
R,88,r,b,16875,16922,R2
R,88,v,a,16923,16970,R2
R,88,v,b,16971,17024,R2
R,89,r,a,17025,17076,R2
R,89,r,b,17077,17124,R2
R,89,v,a,17125,17171,R2
R,89,v,b,17172,17224,R2
R,90,r,a,17225,17288,R2
R,90,r,b,17289,17324,R2
R,90,v,a,17325,17372,R2
R,90,v,b,17373,17420,R2
R,91,r,a,17421,17470,R2
R,91,r,b,17471,17518,R2
R,91,v,a,17519,17564,R2
R,91,v,b,17565,17611,R2
R,92,r,a,17612,17659,R2
R,92,r,b,17660,17707,R2
R,92,v,a,17708,17755,R2
R,92,v,b,17756,17801,R2
R,93,r,a,17802,17849,R2
R,93,r,b,17850,17897,R2
R,93,v,a,17898,17945,R2
R,93,v,b,17946,17995,R2
R,94,r,a,17996,18051,R2
